,date,age,signs_of_mental_illness,body_camera,killed_unarmed,manner_of_death_shot,manner_of_death_shot and Tasered,gender_F,gender_M,race_Asian,race_Black,race_Hispanic,race_Native,race_Other,race_White,threat_level_attack,threat_level_other,threat_level_undetermined,flee_Car,flee_Foot,flee_Not fleeing,flee_Other
56,1422057600000000000,26.0,True,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
57,1422057600000000000,40.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
58,1422144000000000000,26.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
59,1422230400000000000,17.0,False,False,False,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
60,1422230400000000000,68.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
61,1422230400000000000,24.0,False,False,True,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
62,1422230400000000000,34.0,True,False,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
63,1422316800000000000,39.0,True,False,False,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
64,1422316800000000000,26.0,False,False,False,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
65,1422316800000000000,29.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
66,1422316800000000000,33.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
67,1422403200000000000,45.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
68,1422403200000000000,26.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
69,1422403200000000000,35.0,True,False,False,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
70,1422489600000000000,31.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
71,1422489600000000000,42.0,False,False,True,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
72,1422576000000000000,48.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
73,1422662400000000000,31.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
74,1422662400000000000,54.0,True,False,False,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
75,1422835200000000000,59.0,False,False,True,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
76,1422835200000000000,42.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
77,1422835200000000000,17.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
78,1422921600000000000,23.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
79,1422921600000000000,38.0,False,False,False,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
80,1422921600000000000,29.0,True,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
81,1422921600000000000,45.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
82,1423008000000000000,28.0,False,False,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
83,1423008000000000000,37.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
84,1423008000000000000,28.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
85,1423008000000000000,28.0,False,False,True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
86,1423008000000000000,51.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
87,1423008000000000000,36.0,False,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
88,1423094400000000000,59.0,False,False,False,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
89,1423180800000000000,25.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
90,1423267200000000000,26.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
91,1423267200000000000,74.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
92,1423353600000000000,33.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
93,1423353600000000000,27.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
94,1423353600000000000,57.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
95,1423353600000000000,46.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
96,1423353600000000000,41.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
97,1423440000000000000,61.0,True,False,False,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
98,1423440000000000000,45.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
99,1423526400000000000,49.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
100,1423526400000000000,45.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
101,1423526400000000000,35.0,True,False,True,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
102,1423612800000000000,23.0,True,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
103,1423612800000000000,46.0,True,True,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
104,1423785600000000000,23.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
105,1423785600000000000,21.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
106,1423785600000000000,35.0,False,False,True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
107,1423785600000000000,27.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
108,1423785600000000000,37.0,True,False,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
109,1423872000000000000,16.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
110,1423872000000000000,51.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
111,1423958400000000000,34.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
112,1423958400000000000,34.0,True,False,False,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
113,1423958400000000000,25.0,True,False,True,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
114,1424044800000000000,56.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
115,1424044800000000000,26.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
116,1424044800000000000,24.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
117,1424131200000000000,43.0,False,False,False,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
118,1424131200000000000,31.0,False,False,True,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
119,1424131200000000000,32.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
120,1424131200000000000,30.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
121,1424131200000000000,50.0,False,False,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
122,1424217600000000000,20.0,True,False,False,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
123,1424390400000000000,31.0,False,False,True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
124,1424390400000000000,38.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
125,1424390400000000000,77.0,True,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
126,1424390400000000000,37.11793090137039,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
127,1424476800000000000,41.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
128,1424476800000000000,51.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
129,1424563200000000000,50.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
130,1424649600000000000,47.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
131,1424649600000000000,37.0,False,False,False,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
132,1424649600000000000,41.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
133,1424649600000000000,16.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
134,1424649600000000000,42.0,False,False,False,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
135,1424649600000000000,39.0,False,False,True,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
136,1424736000000000000,30.0,True,False,False,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
137,1424822400000000000,27.0,False,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
138,1424822400000000000,43.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
139,1424908800000000000,42.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
140,1424908800000000000,21.0,False,False,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
141,1424908800000000000,49.0,False,False,True,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
142,1424908800000000000,34.0,False,False,False,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
143,1424908800000000000,31.0,False,False,True,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
144,1424995200000000000,27.0,False,False,True,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
145,1425081600000000000,24.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
146,1425081600000000000,34.0,False,False,True,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
147,1425081600000000000,28.0,False,False,False,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
148,1425081600000000000,28.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
149,1425081600000000000,40.0,True,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
150,1425081600000000000,37.0,False,False,False,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
151,1425081600000000000,17.0,False,True,True,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
